year_month,gold,silver,date
2005-10,6990,11350,2005-10-01
2005-10,6990,11650,2005-10-01
2005-11,7430,12400,2005-11-01
2005-12,7635,13300,2005-12-01
2006-01,8205,14575,2006-01-01
2006-02,8070,13775,2006-02-01
2006-03,8515,17300,2006-03-01
2006-04,9520,20198,2006-04-01
2006-05,9851,19604,2006-05-01
2006-06,8970,16139,2006-06-01
2006-07,9609,17822,2006-07-01
2006-08,9406,19381,2006-08-01
2006-09,8960,17822,2006-09-01
2006-10,8837,18168,2006-10-01
2006-11,9302,20124,2006-11-01
2006-12,9188,18985,2006-12-01
2007-01,9247,19580,2007-01-01
2007-02,9685,20691,2007-02-01
2007-03,9360,19321,2007-03-01
2007-04,9077,18597,2007-04-01
2007-05,8666,17966,2007-05-01
2007-06,8600,17126,2007-06-01
2007-07,8750,17460,2007-07-01
2007-08,8897,16516,2007-08-01
2007-09,9554,18092,2007-09-01
2007-10,9995,18717,2007-10-01
2007-11,10206,18691,2007-11-01
2007-12,10592,19262,2007-12-01
2008-01,11751,20765,2008-01-01
2008-02,12458,23765,2008-02-01
2008-03,12110,23000,2008-03-01
2008-04,11404,22221,2008-04-01
2008-05,12209,23351,2008-05-01
2008-06,12936,24545,2008-06-01
2008-07,12530,24423,2008-07-01
2008-08,11922,20434,2008-08-01
2008-09,13337,20511,2008-09-01
2008-10,11777,16511,2008-10-01
2008-11,13136,16858,2008-11-01
2008-12,13445,17847,2008-12-01
2009-01,14276,19682,2009-01-01
2009-02,15416,21709,2009-02-01
2009-03,15066,21890,2009-03-01
2009-04,14520,20884,2009-04-01
2009-05,14845,23509,2009-05-01
2009-06,14558,22357,2009-06-01
2009-07,14680,22155,2009-07-01
2009-08,15160,23575,2009-08-01
2009-09,15620,26040,2009-09-01
2009-10,15965,25999,2009-10-01
2009-11,17650,28250,2009-11-01
2009-12,16705,26870,2009-12-01
2010-01,16230,25500,2010-01-01
2010-02,16789,25839,2010-02-01
2010-03,16300,26875,2010-03-01
2010-04,17015,28235,2010-04-01
2010-05,18377,29263,2010-05-01
2010-06,18805,29575,2010-06-01
2010-07,17768,28644,2010-07-01
2010-08,18920,30140,2010-08-01
2010-09,19165,33350,2010-09-01
2010-10,19680,37075,2010-10-01
2010-11,20500,41805,2010-11-01
2010-12,20575,46065,2010-12-01
2011-01,19920,42950,2011-01-01
2011-02,20800,49600,2011-02-01
2011-03,20760,55900,2011-03-01
2011-04,22715,70837,2011-04-01
2011-05,22505,57910,2011-05-01
2011-06,21942,51820,2011-06-01
2011-07,23211,58218,2011-07-01
2011-08,26761,61523,2011-08-01
2011-09,25951,51469,2011-09-01
2011-10,27201,56003,2011-10-01
2011-11,28841,54505,2011-11-01
2011-12,27170,50010,2011-12-01
2012-01,28122,55777,2012-01-01
2012-02,28599,60508,2012-02-01
2012-03,28075,55950,2012-03-01
2012-04,29175,55776,2012-04-01
2012-05,29183,53768,2012-05-01
2012-06,29594,52256,2012-06-01
2012-07,29905,53421,2012-07-01
2012-08,30735,56659,2012-08-01
2012-09,31248,60915,2012-09-01
2012-10,30931,59130,2012-10-01
2012-11,31459,62547,2012-11-01
2012-12,30446,56736,2012-12-01
2013-01,30169,58200,2013-01-01
2013-02,29615,53874,2013-02-01
2013-03,29426,52620,2013-03-01
2013-04,27135,45483,2013-04-01
2013-05,27197,44158,2013-05-01
2013-06,25778,40408,2013-06-01
2013-07,28600,41850,2013-07-01
2013-08,32111,53233,2013-08-01
2013-09,30186,48800,2013-09-01
2013-10,30683,48582,2013-10-01
2013-11,30499,44379,2013-11-01
2013-12,29075,43413,2013-12-01
2014-01,29736,43269,2014-01-01
2014-02,30487,46586,2014-02-01
2014-03,28619,43028,2014-03-01
2014-04,29773,41892,2014-04-01
2014-05,26893,40092,2014-05-01
2014-06,28093,44129,2014-06-01
2014-07,27906,44546,2014-07-01
2014-08,27923,42673,2014-08-01
2014-09,26772,38783,2014-09-01
2014-10,25871,35608,2014-10-01
2014-11,26140,35678,2014-11-01
2014-12,26774,36519,2014-12-01
2015-01,27630,37495,2015-01-01
2015-02,26559,36602,2015-02-01
2015-03,26232,36983,2015-03-01
2015-04,27047,37454,2015-04-01
2015-05,26843,38013,2015-05-01
2015-06,26356,35632,2015-06-01
2015-07,24592,33611,2015-07-01
2015-08,26556,34467,2015-08-01
2015-09,25979,34379,2015-09-01
2015-10,26461,36285,2015-10-01
2015-11,25049,33683,2015-11-01
2015-12,24994,32984,2015-12-01
2016-01,26575,34387,2016-01-01
2016-02,29181,36183,2016-02-01
2016-03,29080,36651,2016-03-01
2016-04,29918,41476,2016-04-01
2016-05,28615,38472,2016-05-01
2016-06,30539,43065,2016-06-01
2016-07,30939,46841,2016-07-01
2016-08,30814,44136,2016-08-01
2016-09,31175,45487,2016-09-01
2016-10,30049,42003,2016-10-01
2016-11,28837,40703,2016-11-01
2016-12,27830,39439,2016-12-01
2017-01,29008,41377,2017-01-01
2017-02,29591,43206,2017-02-01
2017-03,28527,41717,2017-03-01
2017-04,28887,40042,2017-04-01
2017-05,28839,39691,2017-05-01
2017-06,28803,38496,2017-06-01
2017-07,28513,38262,2017-07-01
2017-08,29456,39555,2017-08-01
2017-09,29692,39357,2017-09-01
2017-10,29333,38830,2017-10-01
2017-11,29236,37974,2017-11-01
2017-12,29252,38350,2017-12-01
2018-01,30207,39065,2018-01-01
2018-02,30398,38189,2018-02-01
2018-03,30630,38325,2018-03-01
2018-04,31033,38777,2018-04-01
2018-05,31026,39803,2018-05-01
2018-06,30341,39221,2018-06-01
2018-07,29660,37792,2018-07-01
2018-08,30226,37096,2018-08-01
2018-09,30296,37006,2018-09-01
2018-10,31698,37890,2018-10-01
2018-11,30240,35519,2018-11-01
2018-12,31566,38270,2018-12-01
2019-01,33209,40293,2019-01-01
2019-02,33250,39866,2019-02-01
2019-03,31601,37270,2019-03-01
2019-04,31723,37272,2019-04-01
2019-05,32056,36357,2019-05-01
2019-06,34006,37425,2019-06-01
2019-07,34805,40900,2019-07-01
2019-08,38405,46688,2019-08-01
2019-09,37475,44190,2019-09-01
2019-10,38650,46749,2019-10-01
2019-11,37876,44303,2019-11-01
2019-12,39076,46595,2019-12-01
2020-01,40694,46383,2020-01-01
2020-02,42352,45509,2020-02-01
2020-03,40989,36871,2020-03-01
2020-04,40989,36871,2020-04-01
2020-05,40989,36871,2020-05-01
2020-06,48304,48399,2020-06-01
2020-07,53615,63877,2020-07-01
2020-08,51246,65701,2020-08-01
2020-09,50325,59539,2020-09-01
2020-10,50645,60471,2020-10-01
2020-11,48778,59990,2020-11-01
2020-12,50005,67281,2020-12-01
2021-01,49205,69944,2021-01-01
2021-02,46425,68551,2021-02-01
2021-03,43994,62789,2021-03-01
2021-04,47569,69875,2021-04-01
2021-05,48933,71456,2021-05-01
2021-06,46504,67639,2021-06-01
2021-07,48250,68022,2021-07-01
2021-08,47106,63646,2021-08-01
2021-09,45624,58064,2021-09-01
2021-10,47794,64289,2021-10-01
2021-11,48031,61968,2021-11-01
2021-12,47899,61764,2021-12-01
2022-01,47706,60936,2022-01-01
2022-02,50479,65065,2022-02-01
2022-03,51317,66740,2022-03-01
2022-04,51847,64735,2022-04-01
2022-05,50861,61230,2022-05-01
2022-06,50699,58893,2022-06-01
2022-07,51301,57485,2022-07-01
2022-08,50986,54149,2022-08-01
2022-09,50074,56084,2022-09-01
2022-10,50187,56992,2022-10-01
2022-11,52574,61765,2022-11-01
2022-12,54556,67780,2022-12-01
2023-01,56719,67581,2023-01-01
2023-02,55320,62761,2023-02-01
2023-03,59560,71389,2023-03-01
2023-04,59897,73697,2023-04-01
2023-05,60133,70911,2023-05-01
2023-06,57810,68284,2023-06-01
2023-07,59283,73499,2023-07-01
2023-08,59262,74454,2023-08-01
2023-09,57594,71449,2023-09-01
2023-10,61080,71985,2023-10-01
2023-11,62440,75932,2023-11-01
2023-12,62939,73019,2023-12-01
2024-01,62591,71487,2024-01-01
2024-02,62010,69195,2024-02-01
2024-03,66987,74028,2024-03-01
2024-04,71529,79950,2024-04-01
2024-05,72127,92323,2024-05-01
2024-06,71563,87840,2024-06-01
2024-07,69046,82817,2024-07-01
2024-08,71679,84910,2024-08-01
2024-09,75051,89537,2024-09-01
2024-10,79181,96548,2024-10-01
2024-11,76400,89351,2024-11-01
2024-12,75913,85851,2024-12-01
2025-01,81798,93196,2025-01-01
2025-02,84789,93287,2025-02-01
2025-03,88691,100693,2025-03-01
2025-04,93928,93975,2025-04-01
2025-05,95058,97252,2025-05-01
2025-06,95676,105720,2025-06-01
2025-07,98068,110005,2025-07-01
2025-08,101967,117468,2025-08-01
2025-09,114761,141918,2025-09-01
2025-10,120450,148699,2025-10-01
2025-11,126033,164052,2025-11-01
2025-12,132640,229452,2025-12-01
2026-01,164389,333292,2026-01-01
2026-02,155646,259227,2026-02-01
