year_month,nifty,btc,date
2020-01,5833.43994140625,9349.1416015625,2020-01-01
2020-02,5378.330078125,8543.7060546875,2020-02-01
2020-03,3937.969970703125,6412.52294921875,2020-03-01
2020-04,4549.509765625,8628.96484375,2020-04-01
2020-05,4390.02001953125,9454.822265625,2020-05-01
2020-06,4727.81005859375,9135.40234375,2020-06-01
2020-07,5128.75,11333.404296875,2020-07-01
2020-08,5360.5498046875,11644.2109375,2020-08-01
2020-09,5282.2900390625,10776.080078125,2020-09-01
2020-10,5443.56005859375,13797.310546875,2020-10-01
2020-11,6068.0,19698.0625,2020-11-01
2020-12,6630.39990234375,28949.44140625,2020-12-01
2021-01,6475.31982421875,33108.08203125,2021-01-01
2021-02,6850.85986328125,45164.01953125,2021-02-01
2021-03,6962.2099609375,58763.65625,2021-03-01
2021-04,6844.22021484375,57720.27734375,2021-04-01
2021-05,7434.93994140625,37298.609375,2021-05-01
2021-06,7328.81005859375,35026.875,2021-06-01
2021-07,7339.77001953125,41553.69921875,2021-07-01
2021-08,8131.08984375,47130.44140625,2021-08-01
2021-09,8224.2900390625,43823.25,2021-09-01
2021-10,8177.240234375,61309.625,2021-10-01
2021-11,7830.330078125,56882.94140625,2021-11-01
2021-12,8089.22021484375,46219.46484375,2021-12-01
2022-01,8051.5400390625,38498.62109375,2022-01-01
2022-02,7723.0,43188.234375,2022-02-01
2022-03,7986.2001953125,45525.0,2022-03-01
2022-04,7752.2900390625,37650.0,2022-04-01
2022-05,7401.89013671875,31793.357421875,2022-05-01
2022-06,6923.740234375,19926.5546875,2022-06-01
2022-07,7500.919921875,23303.423828125,2022-07-01
2022-08,7744.4501953125,20043.880859375,2022-08-01
2022-09,7281.009765625,19423.00390625,2022-09-01
2022-10,7539.759765625,20496.318359375,2022-10-01
2022-11,7981.43017578125,17163.876953125,2022-11-01
2022-12,7583.080078125,16537.427734375,2022-12-01
2023-01,7469.830078125,23125.078125,2023-01-01
2023-02,7252.919921875,23130.48046875,2023-02-01
2023-03,7319.25,28473.71875,2023-03-01
2023-04,7648.830078125,29252.12890625,2023-04-01
2023-05,7762.6201171875,27216.12890625,2023-05-01
2023-06,8104.9599609375,30472.900390625,2023-06-01
2023-07,8321.9404296875,29232.388671875,2023-07-01
2023-08,8058.64013671875,25937.28515625,2023-08-01
2023-09,8194.330078125,26962.65234375,2023-09-01
2023-10,7940.39990234375,34650.57421875,2023-10-01
2023-11,8365.3095703125,37712.90625,2023-11-01
2023-12,9048.900390625,42272.5390625,2023-12-01
2024-01,9065.0595703125,42580.4921875,2024-01-01
2024-02,9186.419921875,61169.28125,2024-02-01
2024-03,9275.830078125,71331.9609375,2024-03-01
2024-04,9387.509765625,60666.59765625,2024-04-01
2024-05,9352.7900390625,67530.140625,2024-05-01
2024-06,9977.1298828125,62754.2578125,2024-06-01
2024-07,10325.7001953125,64625.9609375,2024-07-01
2024-08,10425.7802734375,58978.6171875,2024-08-01
2024-09,10672.2197265625,63339.2265625,2024-09-01
2024-10,9974.4599609375,70281.78125,2024-10-01
2024-11,9895.6103515625,96405.65625,2024-11-01
2024-12,9569.6298828125,93557.234375,2024-12-01
2025-01,9404.3095703125,94536.109375,2025-01-01
2025-02,8761.009765625,84381.171875,2025-02-01
2025-03,9534.580078125,82548.765625,2025-03-01
2025-04,9980.3798828125,94184.3828125,2025-04-01
2025-05,10021.75,104598.0234375,2025-05-01
2025-06,10309.759765625,107171.109375,2025-06-01
2025-07,9797.2099609375,115764.9765625,2025-07-01
2025-08,9593.740234375,108226.828125,2025-08-01
2025-09,9604.5302734375,114048.5390625,2025-09-01
2025-10,10044.75,109602.8359375,2025-10-01
2025-11,10145.7001953125,90374.1953125,2025-11-01
2025-12,10081.0498046875,87612.6875,2025-12-01
2026-01,9535.2998046875,78726.453125,2026-01-01
2026-02,9878.25,67172.7578125,2026-02-01
