year_month,nifty,gold,date
2005-06,2220.6,6080,2005-06-01
2005-06,2220.6,6240,2005-06-01
2005-07,2312.3,6140,2005-07-01
2005-08,2384.65,6270,2005-08-01
2005-09,2601.4,6775,2005-09-01
2005-10,2370.95,6990,2005-10-01
2005-11,2652.25,7430,2005-11-01
2005-12,2836.55,7635,2005-12-01
2006-01,3001.1,8205,2006-01-01
2006-02,3074.7,8070,2006-02-01
2006-03,3402.55,8515,2006-03-01
2006-04,3557.6,9520,2006-04-01
2006-05,3071.05,9851,2006-05-01
2006-06,3128.2,8970,2006-06-01
2006-07,3143.2,9609,2006-07-01
2006-08,3413.9,9406,2006-08-01
2006-09,3588.4,8960,2006-09-01
2006-10,3744.1,8837,2006-10-01
2006-11,3954.5,9302,2006-11-01
2006-12,3966.4,9188,2006-12-01
2007-01,4082.7,9247,2007-01-01
2007-02,3745.3,9685,2007-02-01
2007-03,3821.55,9360,2007-03-01
2007-04,4087.9,9077,2007-04-01
2007-05,4295.8,8666,2007-05-01
2007-06,4318.3,8600,2007-06-01
2007-07,4528.85,8750,2007-07-01
2007-08,4464.0,8897,2007-08-01
2007-09,5021.35,9554,2007-09-01
2007-10,5900.65,9995,2007-10-01
2007-11,5762.75,10206,2007-11-01
2007-12,6138.6,10592,2007-12-01
2008-01,5137.45,11751,2008-01-01
2008-02,5223.5,12458,2008-02-01
2008-03,4734.5,12110,2008-03-01
2008-04,5165.9,11404,2008-04-01
2008-05,4870.1,12209,2008-05-01
2008-06,4040.55,12936,2008-06-01
2008-07,4332.95,12530,2008-07-01
2008-08,4360.0,11922,2008-08-01
2008-09,3921.2,13337,2008-09-01
2008-10,2885.6,11777,2008-10-01
2008-11,2755.1,13136,2008-11-01
2008-12,2959.15,13445,2008-12-01
2009-01,2874.8,14276,2009-01-01
2009-02,2763.65,15416,2009-02-01
2009-03,3020.95,15066,2009-03-01
2009-04,3473.95,14520,2009-04-01
2009-05,4448.95,14845,2009-05-01
2009-06,4291.1,14558,2009-06-01
2009-07,4636.45,14680,2009-07-01
2009-08,4662.1,15160,2009-08-01
2009-09,5083.95,15620,2009-09-01
2009-10,4711.7,15965,2009-10-01
2009-11,5032.7,17650,2009-11-01
2009-12,5201.05,16705,2009-12-01
2010-01,4882.05,16230,2010-01-01
2010-02,4922.3,16789,2010-02-01
2010-03,5249.1,16300,2010-03-01
2010-04,5278.0,17015,2010-04-01
2010-05,5086.3,18377,2010-05-01
2010-06,5312.5,18805,2010-06-01
2010-07,5367.6,17768,2010-07-01
2010-08,5402.4,18920,2010-08-01
2010-09,6029.95,19165,2010-09-01
2010-10,6017.7,19680,2010-10-01
2010-11,5862.7,20500,2010-11-01
2010-12,6134.5,20575,2010-12-01
2011-01,5505.9,19920,2011-01-01
2011-02,5333.25,20800,2011-02-01
2011-03,5833.75,20760,2011-03-01
2011-04,5749.5,22715,2011-04-01
2011-05,5560.15,22505,2011-05-01
2011-06,5647.4,21942,2011-06-01
2011-07,5482.0,23211,2011-07-01
2011-08,5001.0,26761,2011-08-01
2011-09,4943.25,25951,2011-09-01
2011-10,5326.6,27201,2011-10-01
2011-11,4832.05,28841,2011-11-01
2011-12,4624.3,27170,2011-12-01
2012-01,5199.25,28122,2012-01-01
2012-02,5385.2,28599,2012-02-01
2012-03,5295.55,28075,2012-03-01
2012-04,5248.15,29175,2012-04-01
2012-05,4924.25,29183,2012-05-01
2012-06,5278.9,29594,2012-06-01
2012-07,5229.0,29905,2012-07-01
2012-08,5258.5,30735,2012-08-01
2012-09,5703.3,31248,2012-09-01
2012-10,5619.7,30931,2012-10-01
2012-11,5879.85,31459,2012-11-01
2012-12,5905.1,30446,2012-12-01
2013-01,6034.75,30169,2013-01-01
2013-02,5693.05,29615,2013-02-01
2013-03,5682.55,29426,2013-03-01
2013-04,5930.2,27135,2013-04-01
2013-05,5985.95,27197,2013-05-01
2013-06,5842.2,25778,2013-06-01
2013-07,5742.0,28600,2013-07-01
2013-08,5471.8,32111,2013-08-01
2013-09,5735.3,30186,2013-09-01
